file_name,genre
jazz.00041.wav,jazz
hiphop.00040.wav,hiphop
hiphop.00082.wav,hiphop
hiphop.00022.wav,hiphop
pop.00078.wav,pop
rock.00049.wav,rock
disco.00034.wav,disco
jazz.00076.wav,jazz
rock.00034.wav,rock
jazz.00067.wav,jazz
jazz.00094.wav,jazz
jazz.00030.wav,jazz
jazz.00081.wav,jazz
pop.00007.wav,pop
hiphop.00048.wav,hiphop
hiphop.00053.wav,hiphop
country.00028.wav,country
disco.00052.wav,disco
pop.00028.wav,pop
country.00012.wav,country
blues.00079.wav,blues
classical.00048.wav,classical
disco.00002.wav,disco
metal.00028.wav,metal
pop.00077.wav,pop
jazz.00006.wav,jazz
disco.00042.wav,disco
hiphop.00085.wav,hiphop
pop.00011.wav,pop
classical.00033.wav,classical
pop.00003.wav,pop
disco.00011.wav,disco
pop.00022.wav,pop
metal.00029.wav,metal
blues.00000.wav,blues
disco.00016.wav,disco
pop.00006.wav,pop
jazz.00047.wav,jazz
reggae.00072.wav,reggae
jazz.00032.wav,jazz
hiphop.00077.wav,hiphop
hiphop.00004.wav,hiphop
classical.00072.wav,classical
classical.00025.wav,classical
disco.00094.wav,disco
hiphop.00020.wav,hiphop
jazz.00052.wav,jazz
rock.00003.wav,rock
blues.00090.wav,blues
rock.00039.wav,rock
classical.00081.wav,classical
country.00074.wav,country
reggae.00095.wav,reggae
blues.00069.wav,blues
country.00091.wav,country
classical.00031.wav,classical
disco.00000.wav,disco
hiphop.00024.wav,hiphop
disco.00026.wav,disco
classical.00044.wav,classical
hiphop.00023.wav,hiphop
jazz.00080.wav,jazz
classical.00035.wav,classical
hiphop.00050.wav,hiphop
classical.00064.wav,classical
blues.00028.wav,blues
pop.00073.wav,pop
classical.00093.wav,classical
disco.00088.wav,disco
reggae.00052.wav,reggae
classical.00069.wav,classical
pop.00005.wav,pop
classical.00040.wav,classical
classical.00073.wav,classical
blues.00006.wav,blues
pop.00045.wav,pop
hiphop.00078.wav,hiphop
blues.00073.wav,blues
rock.00010.wav,rock
reggae.00013.wav,reggae
country.00038.wav,country
classical.00045.wav,classical
pop.00092.wav,pop
country.00034.wav,country
country.00020.wav,country
rock.00023.wav,rock
jazz.00000.wav,jazz
classical.00032.wav,classical
rock.00090.wav,rock
pop.00074.wav,pop
classical.00085.wav,classical
blues.00041.wav,blues
metal.00096.wav,metal
classical.00008.wav,classical
jazz.00088.wav,jazz
blues.00056.wav,blues
hiphop.00005.wav,hiphop
hiphop.00042.wav,hiphop
pop.00057.wav,pop
rock.00097.wav,rock
blues.00024.wav,blues
hiphop.00067.wav,hiphop
jazz.00039.wav,jazz
jazz.00031.wav,jazz
metal.00018.wav,metal
metal.00094.wav,metal
rock.00026.wav,rock
disco.00038.wav,disco
blues.00051.wav,blues
jazz.00007.wav,jazz
jazz.00016.wav,jazz
rock.00020.wav,rock
pop.00081.wav,pop
country.00064.wav,country
reggae.00017.wav,reggae
pop.00010.wav,pop
metal.00082.wav,metal
reggae.00032.wav,reggae
jazz.00018.wav,jazz
hiphop.00047.wav,hiphop
blues.00018.wav,blues
pop.00015.wav,pop
hiphop.00083.wav,hiphop
jazz.00068.wav,jazz
hiphop.00033.wav,hiphop
disco.00067.wav,disco
blues.00083.wav,blues
blues.00061.wav,blues
metal.00038.wav,metal
country.00072.wav,country
country.00085.wav,country
disco.00060.wav,disco
disco.00054.wav,disco
hiphop.00056.wav,hiphop
country.00078.wav,country
blues.00012.wav,blues
classical.00082.wav,classical
disco.00068.wav,disco
reggae.00081.wav,reggae
metal.00015.wav,metal
