mfcc_coeff,file_name,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12
stat,,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max
0,blues.00000.wav,-113.59882354736328,-257.9110107421875,21.742055892944336,121.57067108154297,46.89046096801758,164.7547607421875,-19.162261962890625,-70.90015411376953,28.366945266723633,42.36394119262695,-1.2741488218307495,71.43293762207031,-6.3622660636901855,-49.18486785888672,30.379974365234375,18.621931076049805,-14.367301940917969,41.80767059326172,-13.69973373413086,-38.83380126953125,14.780132293701172,15.339801788330078,-10.57763671875,43.63489532470703,-12.274304389953613,-38.79335021972656,13.907669067382812,10.97094440460205,-14.33853530883789,39.42435073852539,-8.326061248779297,-33.12556457519531,15.191150665283203,8.802087783813477,-12.483556747436523,31.242996215820312,-3.6699414253234863,-26.569305419921875,22.48209571838379
1,blues.00001.wav,-207.52383422851562,-448.5556335449219,-25.956674575805664,123.98513793945312,28.88228988647461,192.77078247070312,8.94701862335205,-78.69281005859375,59.997047424316406,35.867149353027344,-26.024188995361328,76.58583068847656,2.9095942974090576,-42.474632263183594,42.422393798828125,21.519474029541016,-26.499961853027344,50.965457916259766,-8.556511878967285,-57.465919494628906,28.447265625,23.370676040649414,-14.0322265625,57.322296142578125,-10.103608131408691,-52.36970520019531,21.894630432128906,11.899242401123047,-29.54637908935547,40.40428161621094,-5.558823585510254,-37.25718688964844,24.502065658569336,5.377876281738281,-25.34941864013672,37.242591857910156,-2.234492063522339,-27.1895751953125,19.23003387451172
2,blues.00002.wav,-90.75716400146484,-343.934814453125,32.401397705078125,140.4408721923828,-11.79529094696045,198.83848571777344,-29.08454704284668,-85.00932312011719,46.54784393310547,31.68669319152832,1.0605387687683105,91.40402221679688,-13.976547241210938,-64.44110107421875,37.09912109375,25.753751754760742,-5.9715704917907715,61.29363250732422,-13.664990425109863,-51.17915344238281,25.83951187133789,11.634442329406738,-31.28577423095703,34.020233154296875,-11.778322219848633,-34.67150115966797,29.949432373046875,9.71475601196289,-33.70801544189453,31.050621032714844,-13.125313758850098,-45.1903076171875,13.120670318603516,5.7912468910217285,-32.569252014160156,25.241777420043945,-8.90196704864502,-28.854305267333984,23.078027725219727
3,blues.00003.wav,-199.57513427734375,-363.95361328125,-14.066173553466797,150.0861053466797,62.80178451538086,235.07391357421875,5.6634039878845215,-63.06709289550781,43.56199645996094,26.855281829833984,-27.263675689697266,63.492591857910156,1.770071268081665,-49.73822021484375,37.437782287597656,14.232646942138672,-24.058448791503906,56.015830993652344,-4.827844619750977,-45.37323760986328,21.049339294433594,9.286852836608887,-18.335243225097656,30.78329086303711,-0.7561201453208923,-29.54819107055664,25.273714065551758,8.134434700012207,-29.347537994384766,32.76179504394531,-3.200026035308838,-45.5982666015625,25.346261978149414,6.078081130981445,-14.12201976776123,40.363243103027344,-2.478445053100586,-32.89056396484375,20.651330947875977
4,blues.00004.wav,-160.3541717529297,-356.30291748046875,-6.147504806518555,126.2094955444336,-11.409154891967773,188.28465270996094,-35.58139419555664,-84.61236572265625,21.92325782775879,22.13925552368164,-13.978872299194336,86.17343139648438,-32.473548889160156,-96.11962890625,18.551868438720703,10.850701332092285,-21.32746124267578,46.32914352416992,-23.35007095336914,-65.48233032226562,0.2743498682975769,0.4932488799095154,-27.954872131347656,33.73067855834961,-11.796538352966309,-44.25858688354492,24.094099044799805,1.2035191059112549,-24.465713500976562,30.68413543701172,-13.084959030151367,-41.4092903137207,24.97995948791504,-2.810499429702759,-30.323238372802734,31.721019744873047,-6.9344706535339355,-36.60730743408203,24.070384979248047
5,blues.00005.wav,-177.80174255371094,-451.7427673339844,13.480690002441406,118.20316314697266,-85.43894958496094,194.4602508544922,-17.570629119873047,-77.22773742675781,65.34683227539062,30.760927200317383,-26.67285919189453,104.37158966064453,-21.7425537109375,-85.97183227539062,45.79039764404297,11.919262886047363,-23.787033081054688,59.909271240234375,-20.734298706054688,-69.42012023925781,12.486639022827148,3.185288667678833,-23.334753036499023,43.948997497558594,-8.580818176269531,-50.194053649902344,27.56439971923828,-0.9328851103782654,-23.615068435668945,36.07002258300781,-11.772245407104492,-52.49609375,8.917014122009277,-2.408763885498047,-36.482566833496094,34.33317565917969,-9.348445892333984,-32.542823791503906,21.219852447509766
6,blues.00006.wav,-190.0688018798828,-443.4499816894531,29.458560943603516,130.27023315429688,-15.379961967468262,201.3959503173828,-36.36211395263672,-117.80622863769531,54.20469665527344,33.03620910644531,-18.004535675048828,109.06423950195312,11.093892097473145,-105.15089416503906,58.09978485107422,-0.5918818116188049,-35.61357879638672,51.08856964111328,-20.89026641845703,-64.35692596435547,19.577423095703125,0.2784423828125,-31.43610382080078,30.489765167236328,-6.496385097503662,-50.76274108886719,22.762744903564453,-5.512735366821289,-54.01661682128906,33.897972106933594,-7.8474040031433105,-46.06114196777344,24.8011474609375,-3.124300718307495,-33.639617919921875,31.054304122924805,-6.602821350097656,-42.875396728515625,31.352489471435547
7,blues.00007.wav,-179.37229919433594,-413.1458740234375,42.68990707397461,136.44833374023438,-17.305692672729492,211.605224609375,-26.662588119506836,-89.76280975341797,51.445960998535156,39.965450286865234,-9.581615447998047,106.60667419433594,5.310894012451172,-73.2176513671875,53.79418182373047,10.919133186340332,-24.93063735961914,55.31061553955078,-20.559534072875977,-61.22588348388672,25.38994598388672,8.503360748291016,-25.645090103149414,51.440528869628906,-11.349763870239258,-58.079673767089844,24.607112884521484,-3.470554828643799,-38.98115158081055,32.66903305053711,-8.415842056274414,-58.92198181152344,22.533063888549805,-6.957211017608643,-37.71072006225586,29.057300567626953,-3.5460426807403564,-42.72613525390625,19.05831527709961
8,blues.00008.wav,-121.3897933959961,-259.080322265625,0.9222478866577148,122.49832916259766,26.793001174926758,171.0347900390625,-14.734728813171387,-92.74058532714844,33.04442596435547,46.12213897705078,9.692522048950195,99.33163452148438,-8.179258346557617,-67.283447265625,23.632810592651367,20.172466278076172,-16.048830032348633,51.18230438232422,-19.171894073486328,-40.49791717529297,22.236087799072266,23.03683853149414,-6.9890522956848145,49.54035568237305,-11.83272933959961,-33.76311492919922,16.36974334716797,21.15465545654297,-4.271925926208496,45.39997100830078,-6.722797393798828,-33.85614013671875,20.491844177246094,6.989505767822266,-24.014366149902344,29.024078369140625,-12.730550765991211,-35.530799865722656,17.103059768676758
9,blues.00009.wav,-213.2642364501953,-371.2914733886719,-53.86024475097656,115.16475677490234,-42.23737335205078,175.15985107421875,-11.698169708251953,-75.8266830444336,36.29594039916992,39.015357971191406,0.21052616834640503,118.55421447753906,-20.348329544067383,-101.92167663574219,22.287639617919922,13.082701683044434,-34.70282745361328,62.479820251464844,-9.182701110839844,-57.527976989746094,16.07861328125,9.017151832580566,-13.462526321411133,34.8580322265625,-14.1043119430542,-42.85586166381836,19.085533142089844,4.271254062652588,-25.41779327392578,37.94805908203125,-6.050780296325684,-39.17537307739258,20.430652618408203,3.7858355045318604,-23.94460678100586,31.427371978759766,0.2226354330778122,-22.359703063964844,28.279876708984375
10,blues.00010.wav,-173.81045532226562,-434.780517578125,8.729570388793945,137.17355346679688,10.534008979797363,216.88052368164062,-23.72303009033203,-87.57117462158203,91.43087768554688,26.979677200317383,-45.3616943359375,71.98130798339844,-16.67521095275879,-79.8427734375,25.127796173095703,4.194730758666992,-30.786392211914062,40.834251403808594,-12.57178783416748,-47.392333984375,16.211606979370117,5.851668834686279,-27.346708297729492,33.373226165771484,-2.876950740814209,-40.040077209472656,38.70148468017578,-1.178381085395813,-38.43153381347656,26.991565704345703,-1.9682406187057495,-30.577896118164062,16.74562644958496,1.8011796474456787,-27.288089752197266,33.24342346191406,-3.0069501399993896,-29.360088348388672,36.87602996826172
11,blues.00011.wav,-287.931884765625,-443.9071350097656,-77.23606872558594,124.0107650756836,0.8521527647972107,200.54417419433594,5.467447757720947,-54.543792724609375,46.204498291015625,33.66307067871094,-18.54432487487793,90.41303253173828,1.0916539430618286,-84.38904571533203,51.472869873046875,14.703699111938477,-30.748437881469727,51.423194885253906,-4.881141662597656,-42.157508850097656,26.656753540039062,8.668891906738281,-34.753807067871094,46.286224365234375,0.7843314409255981,-37.77116775512695,27.23241424560547,6.576079845428467,-33.052276611328125,36.202247619628906,-4.875815391540527,-36.41935729980469,16.94307518005371,-3.1767609119415283,-30.78759002685547,26.319400787353516,-5.538258075714111,-30.120630264282227,23.545120239257812
