run_id,accuracy,precision,recall,f1_score
adam_lr0p001_drop0p3_units128_block0,0.6302083333333334,0.6884829926130278,0.6302083333333334,0.6410046701758354
adam_lr0p001_drop0p3_units256_block0,0.6510416666666666,0.6834831154684097,0.6510416666666666,0.642688402202025
adam_lr0p001_drop0p4_units128_block0,0.515625,0.6024647401645529,0.515625,0.5232363349855074
adam_lr0p001_drop0p4_units256_block0,0.703125,0.7044896343954249,0.703125,0.7010365576270234
adam_lr0p0001_drop0p3_units128_block0,0.6875,0.7069283750293489,0.6875,0.692508648563336
adam_lr0p0001_drop0p3_units256_block0,0.7083333333333334,0.7191328044445996,0.7083333333333334,0.7024330271801603
adam_lr0p0001_drop0p4_units128_block0,0.6875,0.7014200498575498,0.6875,0.68758565992941
adam_lr0p0001_drop0p4_units256_block0,0.6458333333333334,0.6767720934031276,0.6458333333333334,0.6555023938115456
adam_lr1em05_drop0p3_units128_block0,0.609375,0.6246411886147739,0.609375,0.6026915790086665
adam_lr1em05_drop0p3_units256_block0,0.6510416666666666,0.6635825163398693,0.6510416666666666,0.6510674400786677
adam_lr1em05_drop0p4_units128_block0,0.6458333333333334,0.6903259293544619,0.6458333333333334,0.6254032231936578
adam_lr1em05_drop0p4_units256_block0,0.6197916666666666,0.6334925508932564,0.6197916666666666,0.6083366082093182
sgd_lr0p001_drop0p3_units128_block0,0.578125,0.5266046193389944,0.578125,0.5386108701104654
sgd_lr0p001_drop0p3_units256_block0,0.5572916666666666,0.5956048976608187,0.5572916666666666,0.5461917487091845
sgd_lr0p001_drop0p4_units128_block0,0.390625,0.2409083946078431,0.390625,0.28548167883740616
sgd_lr0p001_drop0p4_units256_block0,0.5625,0.5876032985714358,0.5625,0.5236771386022417
sgd_lr0p0001_drop0p3_units128_block0,0.53125,0.5726222472890671,0.53125,0.47885039393902873
sgd_lr0p0001_drop0p3_units256_block0,0.609375,0.6111336744984878,0.609375,0.5822002521057753
sgd_lr0p0001_drop0p4_units128_block0,0.5104166666666666,0.5161659362393525,0.5104166666666666,0.4700863552701338
sgd_lr0p0001_drop0p4_units256_block0,0.4947916666666667,0.4207812457085376,0.4947916666666667,0.4281529153230251
sgd_lr1em05_drop0p3_units128_block0,0.4166666666666667,0.4353691846804511,0.4166666666666667,0.38333597868974545
sgd_lr1em05_drop0p3_units256_block0,0.3802083333333333,0.40738312609732885,0.3802083333333333,0.34423707039244017
sgd_lr1em05_drop0p4_units128_block0,0.40625,0.45229722417222423,0.40625,0.34905051236042883
sgd_lr1em05_drop0p4_units256_block0,0.40625,0.46305418082911687,0.40625,0.39733454891242787
rmsprop_lr0p001_drop0p3_units128_block0,0.6979166666666666,0.7155896516182572,0.6979166666666666,0.6960867225029247
rmsprop_lr0p001_drop0p3_units256_block0,0.6614583333333334,0.7549599348120939,0.6614583333333334,0.6506401904706213
rmsprop_lr0p001_drop0p4_units128_block0,0.6354166666666666,0.668073223575941,0.6354166666666666,0.6362518459496058
rmsprop_lr0p001_drop0p4_units256_block0,0.734375,0.7402208185905942,0.734375,0.7322677085161885
rmsprop_lr0p0001_drop0p3_units128_block0,0.6979166666666666,0.7186591425537827,0.6979166666666666,0.6987551862441196
rmsprop_lr0p0001_drop0p3_units256_block0,0.6927083333333334,0.7280420634043524,0.6927083333333334,0.6836437918211818
rmsprop_lr0p0001_drop0p4_units128_block0,0.6875,0.7056710787385129,0.6875,0.6802188482127999
rmsprop_lr0p0001_drop0p4_units256_block0,0.7291666666666666,0.7373561798528395,0.7291666666666666,0.7301001666462192
rmsprop_lr1em05_drop0p3_units128_block0,0.6302083333333334,0.6382458344708066,0.6302083333333334,0.6069231865615065
rmsprop_lr1em05_drop0p3_units256_block0,0.6510416666666666,0.6454074050949051,0.6510416666666666,0.6393048776292026
rmsprop_lr1em05_drop0p4_units128_block0,0.671875,0.686383005337409,0.671875,0.6642263324942141
rmsprop_lr1em05_drop0p4_units256_block0,0.6458333333333334,0.660115120034075,0.6458333333333334,0.6444032754656975
